stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10601,10601,"Garfield & Loomis","Garfield & Loomis, Westbound, Northwest Corner",41.79414586,-87.66009318,0,,1
10602,10602,"Garfield & Laflin","Garfield & Laflin, Westbound, Northwest Corner",41.79413492,-87.66237626,0,,1
10603,10603,"Garfield & Ashland","Garfield & Ashland, Westbound, Northwest Corner",41.79407388,-87.6648838,0,,1
10604,10604,"Garfield & Paulina","Garfield & Paulina, Westbound, Northwest Corner",41.79405391,-87.66728517,0,,1
10605,10605,"Garfield & Wood","Garfield & Wood, Westbound, Northwest Corner",41.793997,-87.669601,0,,1
10606,10606,"Garfield & Wolcott","Garfield & Wolcott, Westbound, Northwest Corner",41.79401114,-87.67195356,0,,1
10607,10607,"Garfield & Damen","Garfield & Damen, Westbound, Northwest Corner",41.79396924,-87.67457834,0,,1
10608,10608,"Garfield & Hoyne","Garfield & Hoyne, Westbound, Northwest Corner",41.79395538,-87.67688782,0,,1
10609,10609,"Garfield & Hamilton","Garfield & Hamilton, Westbound, Northside of the Street",41.79396754,-87.67799442,0,,1
10610,10610,"Garfield & Oakley","Garfield & Oakley, Westbound, Northside of the Street",41.793906,-87.681122,0,,1
10611,10611,"55th Street & Western Avenue","55th Street & Western Avenue, Westbound, Northwest Corner",41.79392593,-87.68450787,0,,1
10612,10612,"55th Street & Artesian","55th Street & Artesian, Westbound, Northwest Corner",41.793913,-87.685898,0,,1
10613,10613,"55th Street & Rockwell","55th Street & Rockwell, Westbound, Northwest Corner",41.79384485,-87.68913136,0,,1
10614,10614,"55th Street & Washtenaw","55th Street & Washtenaw, Westbound, Northwest Corner",41.793799,-87.6915,0,,1
10615,10615,"55th Street & California","55th Street & California, Westbound, Northwest Corner",41.793745,-87.693894,0,,1
10616,10616,"55th Street & Francisco","55th Street & Francisco, Westbound, Northwest Corner",41.793687,-87.696405,0,,1
10617,10617,"55th Street & Sacramento","55th Street & Sacramento, Westbound, Northwest Corner",41.79366219,-87.69894119,0,,1
10618,10618,"55th Street & Albany","55th Street & Albany, Westbound, Northwest Corner",41.793596,-87.701201,0,,1
10619,10619,"55th Street & Kedzie","55th Street & Kedzie, Westbound, Northwest Corner",41.7935782,-87.70378985,0,,1
10621,10621,"55th Street & Homan","55th Street & Homan, Westbound, Northwest Corner",41.79350033,-87.70876054,0,,1
10622,10622,"55th Street & St. Louis","55th Street & St. Louis, Westbound, Northwest Corner",41.7934715,-87.7113799,0,,1
10624,10624,"55th Street & Lawndale","55th Street & Lawndale, Westbound, Northwest Corner",41.79339671,-87.71603492,0,,1
10625,10625,"55th Street & Hamlin","55th Street & Hamlin, Westbound, Northwest Corner",41.793322,-87.718452,0,,1
10626,10626,"55th Street & Springfield","55th Street & Springfield, Westbound, Northwest Corner",41.793294,-87.720854,0,,1
10627,10627,"55th Street & Pulaski","55th Street & Pulaski, Westbound, Northwest Corner",41.79327373,-87.72361941,0,,1
10628,10628,"55th Street & Karlov","55th Street & Karlov, Westbound, Northwest Corner",41.79327109,-87.72570287,0,,1
10629,10629,"55th Street & Keeler","55th Street & Keeler, Westbound, Northeast Corner",41.79324074,-87.72794915,0,,1
10632,10632,"55th Street & Kilbourn","55th Street & Kilbourn, Westbound, Northeast Corner",41.79315861,-87.73521928,0,,1
10633,10633,"4600 W 55th Street","4600 W 55th Street, Westbound, Northeast Corner",41.79315411,-87.7378381,0,,1
10635,10635,"Cicero & 55th Street","Cicero & 55th Street, Southbound, Southwest Corner",41.79267099,-87.74226714,0,,1
10780,10780,"71st Street & Vincennes","71st Street & Vincennes, Eastbound, Southeast Corner",41.76537,-87.62741,0,,1
10781,10781,"71st Street & State","71st Street & State, Eastbound, Southeast Corner",41.765372,-87.6244,0,,1
10782,10782,"71st Street & Michigan","71st Street & Michigan, Eastbound, Southwest Corner",41.76550604,-87.62188137,0,,1
10783,10783,"71st Street & Indiana","71st Street & Indiana, Eastbound, Southwest Corner",41.765553,-87.620293,0,,1
10784,10784,"71st Street & Prairie","71st Street & Prairie, Eastbound, Southwest Corner",41.765582,-87.618672,0,,1
10785,10785,"71st Street & Calumet","71st Street & Calumet, Eastbound, Southwest Corner",41.765633,-87.617007,0,,1
10786,10786,"71st Street & King Drive","71st Street & King Drive, Eastbound, Southwest Corner",41.76563,-87.61548,0,,1
10789,10789,"71st Street & St. Lawrence","71st Street & St. Lawrence, Eastbound, Southwest Corner",41.76573,-87.610627,0,,1
10790,10790,"71st Street & Langley","71st Street & Langley, Eastbound, Southwest Corner",41.76573529,-87.60864987,0,,1
10791,10791,"71st Street & Cottage Grove/S. Chicago","71st Street & Cottage Grove/S. Chicago, Eastbound, Southwest Corner",41.76580787,-87.60579995,0,,1
10792,10792,"71st Street & Cottage Grove/S. Chicago","71st Street & Cottage Grove/S. Chicago, Eastbound, Southeast Corner",41.765748,-87.60473,0,,1
10793,10793,"71st Street & Drexel","71st Street & Drexel, Eastbound, Southwest Corner",41.76575374,-87.60323135,0,,1
10794,10794,"71st Street & Ellis","71st Street & Ellis, Eastbound, Southwest Corner",41.765775,-87.600848,0,,1
10795,10795,"71st Street & Greenwood","71st Street & Greenwood, Eastbound, Southwest Corner",41.765817,-87.59844,0,,1
10796,10796,"71st Street & Woodlawn","71st Street & Woodlawn, Eastbound, Southwest Corner",41.765852,-87.596042,0,,1
